address,source,current_classification,tag_count,severity,tag_names,tag_slugs,main_entities
0x01989c93890aed05a63d179b03424997075b6acf,entity_classification,CRIMINAL / org_001_shadow_cex_exit,0,none,,,
0x01989c93890aed05a63d179b03424997075b6acf,watchlist:CRITICAL,org_001_shadow_cex_exit | Vanity-spoofed shadow wallet mimicking org_001 CEX Exit (0x01989c93). PREFIX matches real wallet but SUFFIX differs. ~$2M volume Apr 8-11 data gap.,0,none,,,
0x01a16e04e457b82bdb9ee94d102b3e25e01d26d7,watchlist:HIGH,"rd_bot_deployer | Bot-to-deployer conversion. 8 contracts, 7 iterations. Self-testing at 5,494 hits.",0,none,,,
0x091101b0f31833c03dddd5b6411e62a212d05875,entity_classification,CRIMINAL / known_attacker,0,none,,,
0x0f5162779f6bfc140b12e7392a7770f839910299,watchlist:HIGH,"self_deploying_drainer_0f516277 | 1 victim drained 2026-05-01. iter_4 of 0x3304e22ddaa2 drainer-spawn campaign. Fleet=44, larger than other iterations.",0,none,,,
0x147b8869655bc09f226955cc676ff78efe240ca8,watchlist:HIGH,"pristine-reputation solo operator (base) | pristine-solo: fleet 4, conf 1, mainnet 2021-05-13, gap 1,777d. Detected by pristine_solo_detector 2026-04-25.",3,LOW,Luchadores: Deployer; Contract Deployer; Luchadores,luchadores-deployer; contract-deployer; luchadores,; ; 
0x151b381058f91cf871e7ea1ee83c45326f61e96d,watchlist:CRITICAL,architect | Architect's sole funder. 0.0508 ETH. Single deployer.,3,HIGH,MoonPay 4; Exchange; note_0,moonpay-4; exchange; note0,; ; 
0x16cd9c10664baf804734a18ffb6d57927b5ff1ca,watchlist:HIGH,self_deploying_drainer_16cd9c10 | 2 victims drained 2026-04-27 → 04-28. iter_3 of 0x3304e22ddaa2 drainer-spawn campaign. Fleet=2.,0,none,,,
0x1aae146c13287cf4b53338ab262777dad1b07900,watchlist:HIGH,"self_deploying_drainer_1aae146c | Self-deploying trap operator on base. 133 drains across 1 contracts, 133 distinct victims. Drain window: 2026-04-29T11:07:39 → 2026-04-29T16:12:27. Fleet=1, funder=0xf7883e3fef23c8e645deba4b540549d78028a616, mainnet=L2-only. Surfaced 2026-04-29 via 24h drain burst decomposition. Pattern: deploy → bait → mass-sweep, dispose.",0,none,,,
0x1ac0dd67249f3f082a616f1053e16858a96344be,watchlist:HIGH,"self_deploying_drainer_1ac0dd67 | Self-deploying trap operator on base. 141 drains across 1 contract(s), 141 distinct victims. Window: 2026-05-01T11:23:31 -> 2026-05-01T18:00:03. Fleet=1, funder=0xf7883e3fef23c8e645deba4b540549d78028a616, mainnet=L2-only. Surfaced 2026-05-01 via May 1 drain decomposition; part of continuing 2026-04-29 -> 2026-05-01 drain wave.",0,none,,,
0x1b1d2149d656f8ca33fb633e6f642b5a2426b53d,watchlist:HIGH,single_purpose_funder_acc79e | L2-native pure funding wallet (no mainnet history). Funds drainer-operator 0xacc79e7b9f8d (77-victim self-deploying trap operator on Base). Single-Purpose Infrastructure Funder typology — verify against Pattern A on review.,0,none,,,
0x238d7170f309a55b87a144a341bd6105897082ca,entity_classification,CRIMINAL / org_treasury,0,none,,,
0x238d7170f309a55b87a144a341bd6105897082ca,infra_operator_candidate,top12_funder | deployers=861 contracts=734,0,none,,,
0x238d7170f309a55b87a144a341bd6105897082ca,watchlist:HIGH,org_002_senior | Org_002 senior treasury. 85 deployers. Untraceable origin.,0,none,,,
0x260790b15bbae85c85987cbb0a533e3c2ce9ca53,entity_classification,INDIVIDUAL / bot_operator,0,none,,,
0x27920e8039d2b6e93e36f5d5f53b998e2e631a70,entity_classification,CRIMINAL / org_laundry,0,none,,,
0x2bdfdd894d0cd04017b7dab3d4c25e788fdefd47,watchlist:HIGH,"self_deploying_drainer_2bdfdd89 | Self-deploying trap operator on base. 3 drains across 1 contract(s), 3 distinct victims. Window: 2026-04-29T00:27:43 -> 2026-05-02T19:23:33. Fleet=3, funder=0x8b8f2c6e32715b7330416e3008430089f48d9662, mainnet=L2-only. Surfaced 2026-05-02 via May 2 daily probe (0x2bdfdd894d0c = 2 victims May 2). Continuing 2026-04-29 -> 2026-05-02 drain wave.",0,none,,,
0x2ce5ff20a54c736e98098b1f2b3f277f0d154bf5,watchlist:HIGH,"self_deploying_drainer_2ce5ff20 | Self-deploying trap operator on Base, deploy-once-and-dispose. 139 drains 2026-04-13. Part of 6-drainer campaign by operator hub 0xf7883e3fef23c8e645deba4b540549d78028a616 (iter_2). Surfaced 2026-05-01 retroactively from cross-funder linkage probe.",0,none,,,
0x2e20b26172a8625c33097288075920a6210a8233,entity_classification,CRIMINAL / trap_inventory,0,none,,,
0x2fad746cfaaf68aa098f704fb6537b0a05786df8,entity_classification,CRIMINAL / known_attacker,0,none,,,
0x30e88ee4c417f126aacf6a4c3cd641424203fe6d,watchlist:HIGH,architect_associated | Behavioral match to Architect at 0.711. Possible alternate wallet.,0,none,,,
0x31e54d1ccc43772b25aa14b1ddd0a36d05ed7b13,watchlist:HIGH,"persistent_operator_31e54d1c | Base, fleet 639 lifetime contracts, L2-only. First seen 2026-04-23. Persistently active across April 23 → May 5 (12+ days continuous). Overnight 2026-05-04→05 added 37 new contracts. Funder 0x33584fe84042 (NEW, not in any documented hub). Largest non-watchlisted persistent-deployer signal as of 2026-05-05.",0,none,,,
0x31eadfd9b3c43f522e3192a6c5fa28ed126abb61,watchlist:CRITICAL,approval_trap_0x4a3e | 390 armed approvals on 0x4a3e2069. SELFDESTRUCT. Waiting for drain.,0,none,,,
0x32dbfce2253002498cd41a2d79e249250f92673b,entity_classification,CRIMINAL / known_attacker,0,none,,,
0x3304e22ddaa22bcdc5fca2269b418046ae7b566a,infra_operator_candidate,top12_funder | deployers=1939 contracts=6470,4,HIGH,Binance 73; Exchange; Binance; note_0,binance-73; exchange; binance; note0,Binance; ; ; 
0x3304e22ddaa22bcdc5fca2269b418046ae7b566a,watchlist:HIGH,"infrastructure_scale_drainer_spawn_hub_3304e22d | Cross-typology hub: documented top-12 Infrastructure-Scale Operator (rank #4, 2,134 deployers, 8,187 contracts per reports/funder_cluster_diagnostic_2026-04-29.md) AND drainer-spawn hub (linked to two confirmed drainers across April 1 → May 1 cross-link probe: 0x7b72595d62b1f4260b1cdb331a2f5e19e62a52b0 on Apr 1, 0x0f5162779f6bfc140b12e7392a7770f839910299 on May 1). Same shape as 0xf7883e3fef23 (6-drainer/859-victim hub) but at much larger scale and predating that operation. Expanded-window drainer probe across April 1 → May 1 surfaced via this entry.",4,HIGH,Binance 73; Exchange; Binance; note_0,binance-73; exchange; binance; note0,Binance; ; ; 
0x348df930e825da25552d8b3dc44e871c67846cb5,entity_classification,CRIMINAL / known_attacker,0,none,,,
0x35ca5c210a7f87ec8a270ef96656ce6a278b106c,watchlist:HIGH,"single_purpose_funder_3161 | Pure funding wallet (no deployer record). Funds exactly 1 corpus deployer 0xb3c07d462cbcd384636d713aaaa8a841f180e509 with 3,161-contract base fleet. Reference instance of single-purpose-infrastructure-funder typology.",0,none,,,
0x360e68faccca8ca495c1b759fd9eee466db9fb32,entity_classification,CRIMINAL / org_treasury,0,none,,,
0x360ed34d03353bcc229bf4660e9f48a66db9fb32,watchlist:MEDIUM,address_poisoner_targeting_org_001 | Vault spoof #1 (0x360e prefix collision with org_001 vault). Zero-value ETH spam. nonce=2622. Targets org_001 Treasury.,0,none,,,
