contract_address,chain,current_reason,detection_method,deployer_address,is_contract,is_verified,contract_name,implementation_name,public_tags,private_tags,token_name,token_symbol,token_type,holders_count,market_cap_usd,coingecko_url,deployer_public_tags,deployer_private_tags,preliminary_verdict,deployer_confirmed_count,has_bytecode_cache,bytecode_flags,drain_count,drain_tx_count,drain_ratio,reason_class,deployer_oli_tag_count,phase_b_verdict,frameworks_matched,source_chars,deployer_other_fp_count,tx_count_phasec,distinct_interactors_phasec,revert_rate_phasec,phase_c_verdict,phase_c_rationale
0x2aee009112a520ed1cd421acb3b02eb16ffa1f08,arbitrum,Behavioral confirmation: 1 victims trapped (backfill),bytecode_pattern,0x64713a6d5b0d23a0eab27c357d6a32b5c2707941,True,True,MerkleDistributor,,,,,,,,,,,,NEEDS_REVIEW,0,False,,0,0,,behavioral,0,NEEDS_REVIEW,ERC20-interface|OpenZeppelin|OpenZeppelin-ERC20,29045,0,295,1,0.000,LIKELY_FP_FROM_SOURCE,"verified source matches: ERC20-interface, OpenZeppelin, OpenZeppelin-ERC20"
0xd4d5cd7ccbb0bc27aa02e4efafdb3728c84e6ea2,arbitrum,Behavioral confirmation: 1 victims trapped (backfill),bytecode_pattern,0xa2a01b4a68575280a2de45178e289da717bedb6f,True,False,,,,,,,,,,,,,NEEDS_REVIEW,0,False,,0,0,,behavioral,1,NEEDS_REVIEW,,0,0,0,0,,LIKELY_TP_FROM_LOW_ACTIVITY,"sparse activity: 0 interactors, 0 txs — consistent with narrow honeypot"
0xd4624228cce5baa0814c9e7f666a8a2c83b6f159,base,Behavioral confirmation: 31 victims trapped (backfill),bytecode_pattern,0xe8e0c4883d7196a7de87a6489f6da58212dbe813,True,False,,,,,,,,,,,,,NEEDS_REVIEW,0,False,,0,0,,behavioral,0,NEEDS_REVIEW,,0,0,2,2,0.000,LIKELY_TP_FROM_LOW_ACTIVITY,"sparse activity: 2 interactors, 2 txs — consistent with narrow honeypot"
0x35a1d004473cc0a9f84529e36cf2a5327e4fb364,arbitrum,Behavioral confirmation: 1 victims trapped (backfill),deployer_history,0x01fe747e91062fe9af2328e43cee5faf3d9c5072,True,False,CarrytBTCVault,,,,CarrytBTCVault,cvTBTC,ERC-20,1,,,,,NEEDS_REVIEW,0,False,,0,0,,behavioral,0,NEEDS_REVIEW,,0,0,0,0,,LIKELY_TP_FROM_LOW_ACTIVITY,"sparse activity: 0 interactors, 0 txs — consistent with narrow honeypot"
0x59d43b1c09372c9b092e9aba72b882dfd820ffe8,arbitrum,Behavioral confirmation: 1 victims trapped (backfill),bytecode_pattern,0x72e28c7f34100afefc399fcc0ae041b8fe5841ae,True,False,,,,,,,,,,,,,NEEDS_REVIEW,0,False,,0,0,,behavioral,0,NEEDS_REVIEW,,0,0,0,0,,LIKELY_TP_FROM_LOW_ACTIVITY,"sparse activity: 0 interactors, 0 txs — consistent with narrow honeypot"
0x1794fe17eb780619fad46baf80f7628f7495378b,arbitrum,Behavioral confirmation: bot 0x6b6381f2cad74d84c5822aeb5e2a22912d8b5105 trapped in tx 37061764f05d7f5c6236e4dfdf44704498,bytecode_pattern,0x6a8faa37e4c7d8211032b4a76cd10dc3e2e26dd6,True,True,HTLC,,,,,,,,,,,,NEEDS_REVIEW,0,False,,0,0,,behavioral,0,NEEDS_REVIEW,ERC20-interface|OpenZeppelin|OpenZeppelin-ERC20|OpenZeppelin-Ownable,58177,0,1252,114,0.003,LIKELY_FP_FROM_SOURCE,"verified source matches: ERC20-interface, OpenZeppelin, OpenZeppelin-ERC20, OpenZeppelin-Ownable"
0x41c19396cf31b68878fade8d75244ec9492f5f1e,base,Behavioral confirmation: bot 0x152cf7c3f12ff2581ea9c0221a78ac122bd2a482 trapped in tx 25fd3b8bbb9211d3496f6af9bf8cb873c4,bytecode_pattern,0x31c798ac8159568d44c7f0c8678bf6fdc4caf57c,True,False,,,,,,,,,,,,,NEEDS_REVIEW,0,False,,0,0,,behavioral,0,NEEDS_REVIEW,,0,0,36,1,0.028,STILL_AMBIGUOUS,"interactors=1, tx=36, revert=2.8%, source_chars=0, verified=False"
0xf43ded2fd58bec963ba1e6670f6937a7d2c17387,arbitrum,Behavioral confirmation: 1 victims trapped (backfill),bytecode_pattern,0xb60e6ed28b4563926ad3ac42b35a3cd371db8964,True,False,,,,,,,,,,,,,NEEDS_REVIEW,1,False,,0,0,,behavioral,0,NEEDS_REVIEW,,0,0,0,0,,LIKELY_TP_FROM_LOW_ACTIVITY,"sparse activity: 0 interactors, 0 txs — consistent with narrow honeypot"
0x6623af17c813252cdbe29d062817fd27bd865c35,base,Behavioral confirmation: 1 victims trapped (backfill),bytecode_pattern,0xe1288759446298f250c3bce5616706d25525ba7f,True,False,,,,,,,,,,,,,NEEDS_REVIEW,0,False,,0,0,,behavioral,0,NEEDS_REVIEW,,0,0,0,0,,LIKELY_TP_FROM_LOW_ACTIVITY,"sparse activity: 0 interactors, 0 txs — consistent with narrow honeypot"
0x037966676098bf60b9cfd83657b0dc9394ca04eb,arbitrum,Behavioral confirmation: 1 victims trapped (backfill),bytecode_pattern,0x694434da67976a40cc9e0ebdbfd4a4e6430bc4f5,True,False,,,,,,,,,,,,,NEEDS_REVIEW,0,False,,0,0,,behavioral,0,NEEDS_REVIEW,,0,0,0,0,,LIKELY_TP_FROM_LOW_ACTIVITY,"sparse activity: 0 interactors, 0 txs — consistent with narrow honeypot"
0x275ac7b03bbaefef297758dc26283b2c0c70b55c,base,Behavioral confirmation: 1 victims trapped (backfill),deployer_history,0x89d6dfb232ae56b847f057f601be499b48633d9d,True,False,,,,,,,,,,,,,NEEDS_REVIEW,0,False,,0,0,,behavioral,0,NEEDS_REVIEW,,0,0,1,1,0.000,LIKELY_TP_FROM_LOW_ACTIVITY,"sparse activity: 1 interactors, 1 txs — consistent with narrow honeypot"
0xe09f9ead03f315dc62aebd56e5174fc72b42524b,arbitrum,Behavioral confirmation: 1 victims trapped (backfill),bytecode_pattern,0x035fd73bd1583baf23264eee954aeb8d35d74bc1,True,False,,,,,,,,,,,,,NEEDS_REVIEW,1,False,,0,0,,behavioral,0,NEEDS_REVIEW,,0,0,0,0,,LIKELY_TP_FROM_LOW_ACTIVITY,"sparse activity: 0 interactors, 0 txs — consistent with narrow honeypot"
0xa2e2748f021082f153f6b275fc3ee601a5c7407f,arbitrum,Behavioral confirmation: 1 victims trapped (backfill),bytecode_pattern,0x035fd73bd1583baf23264eee954aeb8d35d74bc1,True,True,ILAlphaVault,,,,IL Alpha Vault,ilALPHA,ERC-20,1,,,,,NEEDS_REVIEW,1,False,,0,0,,behavioral,0,STILL_NEEDS_REVIEW,OpenZeppelin-ERC20|Solady|Solmate,197804,0,0,0,,LIKELY_FP_FROM_SOURCE,"verified source matches: OpenZeppelin-ERC20, Solady, Solmate"
0xf835cc3afd0bc4a8ce3f36a28bbce2302960618d,base,Self-loop: deployer 0xb4a3c10c0b2f14e001c6d3b271a5c64c287472df called own contract in reverted tx at block 44643184 (BOT,bytecode_pattern,0xb4a3c10c0b2f14e001c6d3b271a5c64c287472df,True,False,,,,,,,,,,,,,NEEDS_REVIEW,1,False,,0,0,,self_loop,0,NEEDS_REVIEW,,0,0,80,1,1.000,STILL_AMBIGUOUS,"interactors=1, tx=80, revert=100.0%, source_chars=0, verified=False"
0x3d13051ed6bd2256926f67cbf3b89a9db3f49edb,arbitrum,Behavioral confirmation: 1 victims trapped (backfill),deployer_history,0xcfd2cbdd49db3cd3a9d2b748c7cd9c354ad18d73,True,False,,,,,,,,,,,,,NEEDS_REVIEW,0,False,,0,0,,behavioral,0,NEEDS_REVIEW,,0,0,0,0,,LIKELY_TP_FROM_LOW_ACTIVITY,"sparse activity: 0 interactors, 0 txs — consistent with narrow honeypot"
0xc22dd4114814cc176f183888bd646e5d69dfab70,base,Behavioral confirmation: 1 victims trapped (backfill),bytecode_pattern,0x6067643a4f75adf19cc2238eb92ed430d20c86eb,True,False,,,,,,,,,,,,,NEEDS_REVIEW,0,False,,0,0,,behavioral,0,NEEDS_REVIEW,,0,0,0,0,,LIKELY_TP_FROM_LOW_ACTIVITY,"sparse activity: 0 interactors, 0 txs — consistent with narrow honeypot"
